page,primary_search_intent,buyer_stage,conversion_action
index.html,indian rice mill for international buyers,Verification,Send RFQ
about-mill-infrastructure.html,rice mill infrastructure India,Verification,Request due-diligence documents
quality-residue-testing.html,basmati rice residue testing / rice certificate of analysis,Technical due diligence,Send compliance brief
export-documents.html,rice export documentation checklist,Transaction planning,Send document checklist
packing-container-logistics.html,rice export packing / rice container loading,Transaction planning,Send packing brief
private-label-rice.html,private label rice manufacturer India,Commercial evaluation,Discuss private label
1121-basmati-rice.html,1121 basmati rice export specification,Product evaluation,Request 1121 quote
1509-basmati-rice.html,1509 basmati rice export specification,Product evaluation,Request 1509 quote
1401-basmati-rice.html,1401 basmati rice export specification,Product evaluation,Request 1401 quote
contact.html,international rice RFQ,Conversion,Submit RFQ
